adjective,race,character_class,Origin,Who,Sentimental magic item d100,Magical item,atmosphere,place,primary,secondary,villain_Trait,game_starts,twist
humorous,,,,Cant stand children,"A soft, well made blanket that can, once per long rest, emit a soft glow, maintained by concentration. The blanket was crafted by an enchanter after his young son confided he was afraid of the dark to help his son get to sleep.","Assassin's Bracers - This pair of bracers can contain a concealed dagger within each bracer. The wearer can cause the dagger within one, or both, bracers to extend from the bracer. Extending or retracting the daggers requires the use of a Bonus Action from the wearer.",,,,,,The party are all at a huge auction: the only problem? They all want the same item.,
hypocritical,,,,ONLY HAS TWO MORE YEARS BEFORE A DEMON COMES BACK TO CLAIM THEIR SOUL,A sparkling set of needles that sew on their own after given a pattern to follow. Made by an elderly druid who wanted to streamline their winter gift making.,"Bag of Endless Rats - It looks like a Bag of Holding, but it stinks. All that comes out of it when a character tries to use it are 3d20 rats. If it is turned inside out or damaged, it disgorges 5d100 rats and the bag is destroyed.",,,,,,A local magistrate puts together a special task force of city guard and ex-cons to take down a city smuggling ring.,
ignorant,,,,HAS BEEN EXILED TWICE UNDER DIFFERENT NAMES,A stein that removes the alcoholic content of any drink poured into it without affecting the taste. Made by a cleric to help drunkards quit the drink.,"Band of the Dryad - A simple wooden band that appears to be entwined by evergreen ivy vines. the top is decorated with a small rose petal, which remains bloomed and perfect until the rings effect is used. Each day at dawn the petal blooms again. This band has a single charge, which recharges each day at dawn. The power contained within the rose petal may be expended to heal a target the wearer can touch by 2d4+2 hit points. Once used, the rose petal wilts and falls off the ring, and this effect may not be used again until the next dawn.",,,,,,Group is in a seaside tavern when a local fisherman barges in with tales of a terrific sea monster. The fisherman wants to hire some adventurers to slay the beast.,
imaginative,,,,Wears a trench-coat full of watches,A tin crown that increases the confidence and self image of those who wear it. Made for a shy human boy who had trouble talking to people.,"Belt of Returning - A finely crafted dark leather belt with three loops, each decorated with a shard of sapphire. The magic of the belt leaves an invisible mark on the surface of the weapons stowed in each loop and invisibly inscribes the name of the item on the sapphire shard. Three one-handed weapons with the thrown property can be attuned to the belt. When a weapon, from the belt, is thrown at an object or creature, hit or miss, the weapon will return to the belt at the end of your turn.",,,,,,"Local tavern has a dance competition. During a particularly vigorous Goliath clog dancing performance, the floor gives way and the party and many bar patrons find themselves in the bottom of a cavern that also happens to be a large goblin settlement.",
immature,,,,REJECTED A FOREIGN PRINCES MARRIAGE PROPOSAL ,A tin monocle that lets the wearer see a great distance. Made by an artificer that could no longer view the beautiful landscape around his home as he aged.,"Blanket of Starlight - A soft, well made blanket that can, once per long rest, emit a soft glow, maintained by concentration. The blanket was crafted by an enchanter after his young son confided he was afraid of the dark to help his son get to sleep.",,,,,,"The BBEG captures the party after hearing prophecy that only they can stop his evil plan. The party had never met, the BBEG ends up being what introduces the group to each other.",
impatient,,,,Is working on their masterpiece,A toy top that shoots out multicolored sparks when spun. Made and a gift for a young girl.,"Bracelets of Bonding - A set of bracelets that when one is broken the other immediately breaks as well. When one is mended, the other mends itself. Created by a brother who was going off to war, for his younger brother staying home. This was so the older brother would know if things got bad at home. If the bracelet snapped, he promised to come home no matter what.",,,,,,"The party is attending a masquerade. During the festivities in the main square, a group all wearing the same mask start stabbing revelers.",
impractical,,,,Is wanted for their doppelgangers crimes,A water color paint brush that changes color when dipped in different water sources. Made for a warforged who wanted to express itself artistically.,"Bracers of the Woodland Hunter, Uncommon - Once per long rest, you may cast Hunters Mark as a first level spell without using a spell slot. While wearing these, non-magical difficult terrain does not slow your movement.",,,,,,A strange door leading to a magical endless and random dungeon has appeared in the countryside. It quickly becomes a magnet for adventurers and their hanger-ons.,
impressionable,,,,IS TRYING TO GET OUT OF THE ADVENTURING BUSINESS TO SETTLE DOWN,A wax stamp that changes insignia depending on the proximity of the nearest royal blooded individual. Made for a government worker as a promotion gift.,"Captured Sunlight - Sun-filled mirror-catch box, it has enough sunlight to fill a room with bright light. Built by a retired adventuring dwarf and filled by passing adventurers. Inflicts 1d4 radiant damage for 120ft every round of combat when placed on the ground, until closed or destroyed.",,,,,,Party is summoned to famous eccentric wizards tower. The wizard is hiring adventurers for..... test subjects.,
inconsiderate,,,,Was raised by friendly banshees,A wide leather belt that can project the illusion that the wearer is much fatter than they actually are. Commissioned by a couple of draft dodging neer-do-wells who thought they could avoid the service by looking as unhealthy as possible.,"Censer of Serenity - An enchanted censer that was made by a daughter for her father, who was suffering from PTSD following the battle that robbed him of his arm. No matter what incense is burned in the censer, it gives advantage on wisdom saving throws.",,,,,,"During general sewer maintenance, a new series of tunnels are found under the city. The town is hiring folks to explore it.",
independent,,,,Is never nude,A wooden top that will keep spinning as long as someone is looking at it. Made to teach concentration to a young boy who had problems focusing on one thing at a time.,Circlet of Mental Fortitude (Requires Attunement) - A copper studded head band that soothes head pain when worn. Made for an elf who suffered from chronic migraines. Grants resistance against psychic damage.,,,,,,"The different members of the party have been hired to steal a magic book from the kings archives. However, touching the book teleports you inside it. The characters must work together and survive to the end of the books story or find some other way to escape the book.",
intellectual,,,,"Carries 27 daggers, just in case",A yarn doll that has an embedded communication spell. Made by a wizard father for his daughter so that he could talk to her while he traveled. The companion object is a locket with a cut of hair and a portrait in it.,"Circlet of the Planeswalker, Very Rare (Requires Attunement) - While you wear this circlet, you can choose to be considered on your native plane for the effects of banishment and other spells used against you. Whenever you teleport or cross a planar boundary (such as with the Blink spell), you may heal 1d4 Hit Points.",,,,,,The party is dining at a hit new place in the city that touts its secret ingredients. Its only until they start having strange compulsions to journey into the forest that they suspect something is amiss. The secret ingredient was the spores of a myconid sovereign,
intelligent,,,,Faints at the sight of blood,An alabaster quiver that makes simple wooden arrows when fed raw wood. Commissioned by a hunter to save time whittling practice arrows for his son. He later realized that he missed making arrows with his son so he sold it to buy him a proper short bow.,"Cloak of Death - This garment gives you an undead appearance—a skeletal face crusted with desiccated skin, with black holes for eyes. Gives disadvantage to attacks from undead, because undead creatures are confused by your grotesque appearance. Great for looking like a lich without actually being one.",,,,,,Unnatural rains have flooded the city and surrounding areas. But it�s the swamp creatures encroaching that are the most concerning. The party is caught in the middle of a dispute between the bullywugs and grung forces.,
intense,,,,Makes a mean casserole,An armband that flickers color (White to red) every time the wearers heart beats. Made for a cleric to help keep track of an injured colleagues condition.,Cloak of the Nord - A hooded cloak made of various patches of leather that has a belt fastened to the front. It generates heat on the wearer if blown upon by wind. It was made as gift for a lover so that they could travel the mountain ranges without worry of freezing. Gives resistance against Cold damage.,,,,,,The party is hired to find a rich patron�s lost pet Flumph.�,
introverted,,,,Collects cool rocks,An earring that telepathically describes whatever is visible in front of the wearer. Made by a child prodigy for their blind mother who worked tirelessly in order to pay for their magical education.,Cloak of Vigor - A dark red cloak with an extra long flap in the back that will bend and stiffen into a functional chair when the wearer tries to sit down. Made for a wizard that had difficulty walking across town without breaks. Grants the ability to take a short rest in a fraction of the usual time. 1 use a day.,,,,,,"The party is hired to act as bouncers for the grand opening of a new club. When a suspicious guest tries to get past them, they quickly realise he�s 3 Flumphs in a trenchcoat, here to investigate the club owner�s nefarious deeds.",
intuitive,,,,Works as a wedding planner,An emerald ring that gives the wearer an abnormally strong sense of balance. Made for a diplomat by her husband so that when she went on long sea voyages she wouldnt get sea sick.,"Collar of Finding - A leather collar with a small metal emblem of a star on it. A matched bracelet with the same emblem. A person wearing the bracelet can make a small light hover 50 feet above the collar. A wife commissioned this collar after her husband, a retired soldier with significant PTSD, lost the dog that he had bonded with.",,,,,,"A retired wizard hires the party to clean out his basement. Unfortunately, poor arcana handling practices have led to loose wild magic, animated objects, and the occasional lingering portal.",
inventive,,,,Is genre aware,"An enchanted censer that was made by a daughter for her father, who was suffering from PTSD following the battle that robbed him of his arm. No matter what incense is burned in the censer, it gives advantage on wisdom saving throws.",Crown of the False King - A tin crown that increases the confidence and self image of those who wear it. Made for a shy human boy who had trouble talking to people. Grants +2 to Charisma.,,,,,,"The party is taking a well-earned vacation on a cruise ship after a particularly dangerous quest. Time starts to melt together, until they realise it doesn�t seem to be moving at all.",
irrational,,,,Meditates before dawn,An iron lantern that dims in correlation with how awake the nearest person is. Made for a young half-Orc who liked camping outside his house.,"Daryl's Vest of Haste - A black leather vest with wings painted on the back. This vest gives the wearer advantage on Initiative rolls and +2 to Intimidation rolls, plus proficiency with Crossbows.",,,,,,Lady Luck (the goddess Tymora) offers to bless the party in exchange for shutting down her sister (Beshada�s) scam casino.�,
jaunty,,,,Loves puns,"An ornamental birdcage containing an exceptionally realistic stuffed bird. While uncovered, the ""bird"" softly twitters beautiful melodies. Created by a bird-loving artificer for a family of wealthy aristocrats. Though the birdcage has been in the family for over a generation, none of the family members have noticed that the bird itself is fake.","Death Elk Head - The severed, decomposed head of a Giant Elk. It's been reanimated by necromancy and roars ominously when it makes eye contact with another living being. Choose one creature that you can see within 30 feet of you. If the creature can see or hear the Death Elk Head, it must succeed on a Wisdom saving throw (DC 14) or be frightened of you until the end of your next turn. It holds one charge, and must be recharged by dipping it in fresh blood.",,,,,,,
jealous,,,,Is trying to start a revolution,An ornate paper fan that creates sweet scents whenever its waved. Made for an aristocratic Goliath as a birthday gift.,"Demogogue's Tie - A big red necktie that hangs down to the wearer's crotch. When worn, the tie causes the wearer's hair to become pale and wispy, and causes their skin to become orange and leathery. The wearer's INT is reduced by 3 while wearing the tie and they use the word “tremendous” a lot. When the wearer speaks, everyone in earshot must make a DC 15 WIS save, and everyone who fails will believe whatever the tie-wearer has said, no matter how ridiculous.",,,,,,,
joyful,,,,Wears socks and sandals,An oval wicker basket with a tall handle that keeps the items placed in it secure regardless of turbulence. Made for a clumsy mailman.,"Deodorant Soap - A bar of soap that, when used to wash one's body, eliminates body odor and grants +1 to Stealth and Persuasion. Lasts for 1 day.",,,,,,,
judgemental,,,,Has a jar of bees,Brick colored gloves that are extremely resistant to crushing forces when worn. Made for a wall builder that was paranoid about losing a finger.,"Dog Whistle - When blown, this whistle makes no noise. 1d4 rounds of combat later, a dog appears and does 1 thing:",,,,,,,
kind,,,,Never wears white after Labour Day,"Sun-filled mirror-catch box, it has enough sunlight to fill a room with bright light. Built by a retired adventuring dwarf and filled by passing adventurers. Not every denizen of the underdark has the means or bravery to leave the underground but they still hold curiosity over the sun and its light, some come from miles underground to view this dwarfs curio.","Pees on the leg of the user, soaking their clothes, and then runs away. Enemies become disgusted and will avoid the user for 1d6 rounds, only attacking the user if they are attacked.",,,,,,,
lazy,,,,Needs to collect all the shinies,Tall leather boots that are highly resistant to piercing damage. Made for a hunter who tended to forget where he laid his bear traps.,"Poops on the battlefield and runs away. If anyone steps on the poop, they slip and go prone, and must expend an Action to get back up.",,,,,,,
loud,,,,"Has a tattoo in another language that they think says ""STRENGTH"" but it doesnt.","Two rings with a small ruby set in each. When pressed, the emerald makes the other ring warm up slightly. Crafted by a travelling jeweler so she could communicate to her lover when she was thinking of him.","Serves as an emotional support animal, Inspiring and giving the user +1d6 on their next roll.",,,,,,,
loyal,,,,LIKES TO SETTLE ARGUMENTS WITH HEADBUTTING CONTESTS,,"Distracts the nearest enemy by charging at them and barking, giving the whistle-blower Advantage on their next combat roll against that specific enemy.",,,,,,,
lucky,,,,,,"Edible Hat - A hat made of edible fibers--probably cornsilk, but possibly hair. Whatever the material, this is a magic hat that gives the consumer 1 usage of Inspiration if they say out loud, ""If Im wrong, Ill eat my hat!"" and then eat the hat. Eating the hat takes place over 1d4 rounds of combat, during which the character can only use Movement or Dodge actions.",,,,,,,
mean,,,,,,"Ethereal Striders - Boots, Very Rare. As your move action you can instead teleport. In order to teleport, choose how far you want to travel, then do an Arcana check. The DC equals 5+1 for each five feet (1 square) traveled. If you do not succeed on the DC check your teleport fails. Has 3 charges, refills charges every day at dawn.",,,,,,,
mischievous,,,,,,"Fairy Dragon Coffee - For one round of combat, the drinker's speed is tripled, they have +5 to AC, they have advantage on Dexterity saving throws, and the character can do 3 Actions. But in the next round, the character takes 1 point of exhaustion.",,,,,,,
modest,,,,,,"Figurine of Wondrous Power: Ruby Chicken - This figurine can become a Large chicken for 24 hours, strong enough to be ridden and carry up to 250 pounds. It has an AC of 10, HP of 22, to-hit of +4, can peck for 1d6 piercing damage. Has the effect of Featherfall.",,,,,,,
moody,,,,,,"Fire Mephit Lantern - A lantern with a tiny Fire Mephit inside. The Mephit can speak. The lantern casts Light out to 100 feet, and cannot be extinguished.",,,,,,,
morbid,,,,,,"Flask of the Fist - When a character imbibes the contents of this flask, they gain 1d6 damage to their Unarmed strikes for 3 rounds of combat. Empowered strikes also propel Medium or smaller target backwards 20 feet.",,,,,,,
nerdy,,,,,,"Fletcher's Mitt - A green glove that allows the user to avoid or catch a projectile. It gives the wearer a +1 AC against all ranged non-magical attacks. If the wearer completely avoids the attack, the user catches the projectile.",,,,,,,
noncommittal,,,,,,"Focus of the Patron, Uncommon (Requires Attunement by a Warlock) - Whenever you cast your Eldritch Blast against an enemy, roll a d20. On a 20, you regain a warlock spell slot. You gain the 1st level patron ability of a patron you do not serve. Example: Awakened Mind while being a Fey Patron warlock. For the effects granted by this ability, you count as a level one Warlock. This functions as an arcane focus.",,,,,,,
nosy,,,,,,"Furby of Recording - This toy looks like a tiny fey animal with big creepy eyes. The Furby can store one spell of any level and cast it automonously a given number of minutes later. Any creature can cast a spell of any level into the Furby by reciting the spell while staring into the Furby's eyes, and then saying how many minutes later they want the spell to active. If the Furby cant hold the spell, the spell is expended without effect. The spell uses the slot level, spell save DC, spell Attack bonus, and Spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. Once the Furby's spell is expended, it can no longer be used for this purpose, but it will repeat random snippets of dialogue.",,,,,,,
opportunistic,,,,,,"Glove of Magehand - Requires attunement. A magical glove you wear that will immediately conjure a permanent magehand for as long as the glove is worn, which you can use as youd normally use magehand. You can also punch twice in 1 round of combat for 1d4 bludgeoning damage. The catch is, the conjured magehand can be attacked or damaged, and any injury inflicted on the magehand will also be inflicted to the wearer's hand.",,,,,,,
optimistic,,,,,,"Glutton's Fork - Once a day, this fork will allow the user to eat any non-magical item they can fit in their mouth and regain 2d6 HP. Just tap the fork on the item and it will turn edible.",,,,,,,
outspoken,,,,,,Grease Grenade - A fist-sized glass ball that spills 1d20+5 feet of Grease when and where it shatters.,,,,,,,
overly enthusiastic,,,,,,"Hands of the Knight Initiate, Uncommon - Once per long rest you can cast Bless and Bane each once as a first level spell without using a spell slot. Gain 5 points of lay on hands per long rest.",,,,,,,
paranoid,,,,,,"Haunted Doll - A very creepy-looking doll. When the owner of this doll fails a third death saving throw, the doll will die in place of its owner.",,,,,,,
perfectionist,,,,,,"Helen's Earring - An earring that telepathically describes whatever is visible in front of the wearer, whether they can see it or not. Made by a child prodigy for their blind mother who worked tirelessly in order to pay for their magical education. Grants 60ft of Blindsight.",,,,,,,
persistant,,,,,,"Holethrower - A plain-looking wooden slingshot with an intricately carved handle. Once a day, this slingshot can fire any unmodified projectile and create a 1d20-feet-wide circular hole on any non-magical, non-living object or barrier.",,,,,,,
persnickety,,,,,,Horn of Hearing - A copper horn that allows the user have advantage to Perception rolls based on hearing when used. Made for an aging grandmother so that she could hear her grandkids better.,,,,,,,
pessimistic,,,,,,"Jack O'Lantern - A carved pumpkin with a candle inside. Projects light in a 10ft radius and dim light in a 30ft radius. Can be used once to summon the Headless Horseman to fight beside you in one battle, whereupon he takes the lantern and leaves with it. If an ally is beheaded in combat, their head can be replaced with the pumpkin to resurrect them with 1 HP.",,,,,,,
petty,,,,,,"Jar of Bees - A jar of bees. The lid is a screen so they can breathe. If thrown up to 50 feet, it will smash and distract enemies with 1d6 piercing damage for 6 seconds.",,,,,,,
philosophical,,,,,,Joshua's Sandals - A pair of leather sandals that allow the wearer to walk on water.,,,,,,,
pious,,,,,,Lens of Tracking - A monocle that allows the user to once a day see the footprints of a specific person or creature that has been within the area.,,,,,,,
plucky,,,,,,"Les Stroud's Pocket Guide to Adventuring - Once per day, the owner of this guide may read a section associated with a particular skill to gain Advantage on all rolls relating to that skill for the next 24 hours. The owner may also read the passage out loud to grant one additional party member the same benefit.",,,,,,,
popular,,,,,,"Leviathan Axe - A bearded axe with a mythril blade, inscribed with mystical scrollwork. The handle is made from the arm of a Treant. The axe deals 1d8 + 5 Slashing damage. If thrown, the axe will return to the wielder's hand in 1d4 rounds unless grabbed and held with Str against a DC 18. On a nat 20 attack roll, it will also deal 1d6 Cold damage.",,,,,,,
powerful,,,,,,"Lucky Penny - If a player gets a nat 1 on a Perception check, roll 1d4. On a 4, the character finds a Lucky Penny. The next time they roll a nat 1, they get a reroll and the Lucky Penny becomes a normal copper.",,,,,,,
practical,,,,,,Mage's Cravat - A necktie that soothes the throat and allows the wearer to sing / speak for a long time without injuring themselves. Grants resistance against silencing effects.,,,,,,,
pretentious,,,,,,"Magnetic Charge - A fist-sized metal ball with a button on top. When the button is pressed, the ball will begin to glow and produce a magnetic field that lasts 6 seconds. The field repels any metal objects within 10ft of the ball. Takes 1 day to recharge.",,,,,,,
punk rock,,,,,,Masamune's Instruments - A knife and fork set made from Mithril with small runes embed in the handles. When the fork is inserted into food (non-living material) it allows the knife to cut through it with little to no resistance. Made as a gift from a wife to her husband so that he wouldn't waste time sawing through her cooking like a log.,,,,,,,
quirky,,,,,,"Medallion of the Labyrinth - A medallion that, when focused on, always displays a faint blue line, curving around trees or arching over rocks. It will always show the fastest way home, but not the easiest, a flawed enchantment made by a well-meaning wife for her husband, so that he could always find his way back to her.",,,,,,,
rational,,,,,,"Mimic Coin - When swallowed, this coin will Polymorph the user into a random non-magical item, object, or piece of furniture for 1d4 hours. The item the user turns into will be roughly the same size category as the user themselves. The item cannot be damaged or transported by any means, magical or otherwise. If touched by a living being's hand or other forelimb, the user transforms back into their original form.",,,,,,,
realistic,,,,,,Misspell Book - Requires attunement. A book of arcane knowledge that allows the user to use a Reaction to change one letter in the attacker's magic spell and cause a different effect.,,,,,,,
rebellious,,,,,,Mirrors of Clever Seeing - A pair of mirrors. One can see through the other as if there were an extradimensional tunnel between the two. Nothing can pass through.,,,,,,,
reckless,,,,,,Monocle of Farsight - A tin monocle that lets the wearer see a great distance. Made by an artificer that could no longer view the beautiful landscape around his home as he aged. Grants advantage to Perception.,,,,,,,
relaxed,,,,,,"Orrery of Planes - A small brass claw, meant to be set on a desk and have a gemstone inserted into its top. It gives a small, hologram-like view of an elemental plane, changing which plane is displayed by changing the gemstone. It seems to have been a gift from a noble to his child, as such craftsmanship would be quite expensive.",,,,,,,
edgy,,,,,,Pan of Nostalgia - A frying pan and lid that materializes one fully cooked breakfast platter for one once per day when exposed to flame. Adds 1d10 temp HP on a long rest. Someone's mother had it enchanted as a gift for their child who was leaving home so that they could always have a home cooked breakfast.,,,,,,,
reserved,,,,,,"Pendant of Sorrows - A music box pendant, that, when wound and played, emits a somber, soothing song, like one sung by a long-dead but much-loved parent to their child. While the song plays, other sound around the wearer is muffled, and the user cannot be frightened.",,,,,,,
resourceful,,,,,,"Peyote - When ingested, this hallucinogenic mushroom restores one spell slot, but causes the user to hallucinate a random effect from the d100 tables for 1d4 hours.",,,,,,,
romantic,,,,,,"Quill of Desire - A levitating quill that writes out whatever the last person who touched it wants, given that it has enough ink and parchment. Someone's son had it commissioned after his novelist father lost feeling in both of his hands after a wall collapsed on him.",,,,,,,
rude,,,,,,Railsplitter - A bearded axe that allows the user to once a day cut down any tree in one swing.,,,,,,,
sarcastic,,,,,,"Resin of Stronmaus, Uncommon - Sweet, viscous tree sap collected from an unknown tree. Smells like pine, perhaps, with the sweetness of mead, and tastes like mead. While it is chewed like gum, this resin imbues the chewer with the Vicious Mockery cantrip, and grants +1 to Charisma.",,,,,,,
secretive,,,,,,Ring of Balance - An emerald ring that gives the wearer an abnormally strong sense of balance. Made for a diplomat by her husband so that when she went on long sea voyages she wouldn't get sea sick. Grants +1 to Dexterity and Acrobatics skill.,,,,,,,
selfish,,,,,,"Ring of the Colonel - Makes the wearer intensely aware of any and all chickens within a 1-mile radius. The ring can allow the wearer to summon 1d20 chickens to attack an enemy for 1d4+Cha bludgeoning damage once a day, but it must be recharged by licking all of one's fingers.",,,,,,,
sensible,,,,,,Ring of the Giantslayer - A plain copper ring that grants the wearer +2 to AC and +2 to attack rolls against any enemy in the “Large” or bigger size categories.,,,,,,,
sensitive,,,,,,"Ring of the Grammarian - Once a week, the wearer of this ring can alter one letter of one item in an enemy's equipment to alter its appearance and function. This effect is determined by the DM, but with the ring-bearer's intentions taken into account.",,,,,,,
serious,,,,,,"Ring of Kinetic Storage - This simple silver ring allows the wearer to store energy from their bodys motions throughout the day, and release it in strong bursts. This ring contains up to 5 charges, the number of charges stored in the ring increases by 1 for every 2 days the ring is worn. As an action, you can make an unarmed strike with the hand the ring is on. This unarmed strike deals an additional 1d6 bludgeoning damage per charge in the ring. Any unarmed strike with the ring expends all charges stored within the ring. If all five charges of the ring are expended, the target is pushed back 5 feet away from you.",,,,,,,
shy,,,,,,"Ring of Naming - A simple iron ring with 3 charges. Once a day, the wearer can use it to change one letter in an enemy's name to change their form and function. It can only be recharged by the wearer changing one letter in their own race or class.",,,,,,,
silly,,,,,,"Ring of Quiptical Hits - Two interlocking bands, one gold engraved with a motifs of laughing faces and the other granite with a motif of faces set in stony silence, the ring rewards the witty but punishes japes that fall flat. Once per day, on a successful attack roll, if the wearer can deliver a one-liner, quip or appropriate pun before rolling damage, the attack is converted into a critical hit. However, if the jape is deemed to have fallen flat the wearer is overcome by lethargy and behaves as if affected by the spell slow, until the end of its next turn.",,,,,,,
sincere,,,,,,Ring of Recall - A small ring that allows the spellcaster wearing it to regain a spell slot after having failed in casting a spell.,,,,,,,
smart,,,,,,"Scarf of Breathing - A red scarf sewn with silver beads into the fabric, magically filters air that is sucked through it when worn as a face wrap. Made as a gift for an obsidian miner to avoid complications with volcano fumes.",,,,,,,
sociable,,,,,,"Scrolls of Speaking - A pair of small blank scrolls with matching handles. Whatever you write/draw on one scroll (in ink) appears on the other within 3 minutes. 24 hours after ink touches the blank page, everything written on it melts away permanently. Made by two young Divination apprentices who wanted to keep in touch with each other.",,,,,,,
spoiled,,,,,,"Scrying Bones - Once per day, these knucklebones can be used to ask a yes, no, or maybe question to the fates (DM). There are three bones carved into happy faces and sad faces. All happy faces mean yes, all sad means no, anything in-between means maybe.",,,,,,,
stingy,,,,,,Spectacles of Elven Reading - A pair of green rimmed spectacles that translates elvish text into common while wearing them. An elf made them so that he and his adopted daughter could read some elvish adventure tomes that he brought home together.,,,,,,,
straightforward,,,,,,"Stiletto of the Infiltrator, Rare (Requires Attunement) - +1 Dagger, Properties: Finesse, Light, thrown (40/80ft) While wielding this dagger in one hand and a light weapon in the other, you gain a +1 bonus to your armor class. If you impale this dagger in a surface you may, for the next minute, use a bonus action to teleport to its location as long as it is within 100ft of you. Once you use this ability it can not be used again until you finish a short or long rest.",,,,,,,
sympathetic,,,,,,"Strange Key - A big iron key the size of a human forearm. It can either unlock any lock once, whereupon the key shatters, or it can be used to stab one target, ignoring AC and dealing damage equal to 3x the target's WISDOM, whereupon the key shatters.",,,,,,,
tidy,,,,,,"Stronmaus' Laughing Amulet - The amulet carries the image of a stylized human face, mouth laughing. Whenever a foe is defeated, the wearer may activate the amulet by tapping it twice and then delivering the best taunting joke or victorious one-liner applicable to the current situation. If the jest pleases Stronmaus, he rewards the adventurer by recharging up to 1d10+Con HP. But Stronmaus is a fickle god; jokes that fail are punished with 1d6 lightning damage.",,,,,,,
timid,,,,,,"""Surge"" or Sents Resonant Gauntlets - Wondrous item, rare (requires attunement by a monk) These soft leather gauntlets are interwoven with wires of copper and precious metal, and you feel a strange hum of energy as you don them. While wearing these gauntlets, your unarmed strike deals an extra 1d4 lightning damage on a successful hit, and you gain resistance to lightning damage. Additionally, when you are subjected to lightning damage, you can use your reaction to channel the energy through the gauntlets. When you do so, the damage you take is reduced by 1d10 + your Wisdom modifier + your monk level. If you reduce the damage to zero, you can wield the energy for your own attack. You can spend 1 ki point to make a ranged spell attack with the lightning energy you caught, as part of the same reaction. You make the attack with proficiency, the attack inflicts lightning damage equal to your unarmed strike damage die + your Wisdom modifier, and it has a normal range of 20 feet and a long range of 60 feet.",,,,,,,
tough,,,,,,"Tabard of Rage - A leather Tabard made of orc skin that allows those who wear it to be able to use Rage once per day. Legends tell of the friendship between an elf ranger and an orc barbarian, whose tribe had strange funerary rites. When the orc was struck down, with his final words, he requested that he'd be turned into a tabard so he could protect his friend once more.",,,,,,,
unassuming,,,,,,"Teapot of Peace - Magical teapot. If anyone is aware of the teapot being poured, they are immediately compelled to sit down and have tea (WIS vs DC 18). Works during combat. It can only be used if full of tea, which must be brewed and steeped normally.",,,,,,,
uninhibited,,,,,,"Ten-Gallon Hat - The 10-Gallon Hat of Hootin an Holerin is a Ordinary looking Cowboy hat with the the words ""Uhh, Yee-Haw?"" Embroidered on the front. Anyone who wears the hat must succeed on a DC 15 Wisdom saving throw or be afflicted with its effects. The hat compels the wearer to Speak in a western accent, Frequently use ""YEE HAW"", will call anyone the wearers knows ""Partner"" and Unknown people ""Stranger, and replace all ""ing""s with ""in""s, even when writing. The hat also can hold 10 gallons of liquid inside an extradimensional space when poured into the hole, much like a bag of holding. The wearer is unaware of any of the hats effects, and the wearer also gains a +3 bonus to charisma checks while being worn.",,,,,,,
unlucky,,,,,,"Time Grenade - A wind-up clock incased in a glass ball. When a character winds it up and throws it, a sphere of time dilation appears for 30 feet around the target, slowing anything inside to an almost imperceptible crawl for 3 rounds of combat, or 9 seconds. After the effect ends, the clock crashes to the ground and shatters.",,,,,,,
unmotivated,,,,,,"Tome of Resilience - A leather bound tome that writes out motivational quips whenever it is opened. Made for a laborer with low self esteem. Grants the reader advantage on any subsequent roll, once a day, but reading it requires one Action.",,,,,,,
vain,,,,,,"Transmutation Steward, Rare (Requires Attunement) - This small statue appears at first to be a mundane object. If targeted by Detect Magic it registers as highly magical, and if targeted by Identify it reveals its properties. This statue is actually a small semi-sentient creature that awakens upon attunement. Once awakened, it assumes a form of your choice that is small and with challenge rating less than or equal to 1/8. While in this form, it functions as in the Find Familiar spell. If this creature is within 10ft of you, it can jump into your hand and transform into a +1 weapon of your choice. This takes a bonus action on your turn. On subsequent turns it can, as a bonus action, be transformed back into its familiar form or into another weapon form of your choice. If this creature is slain, it reverts back into a statue and recovers over the next 24 hours. After this recovery period, it can then be attuned to again.",,,,,,,
vivacious,,,,,,Trapper's Boots - Tall leather boots that are highly resistant to piercing damage. Made for a hunter who tended to forget where he laid his bear traps.,,,,,,,
wise,,,,,,"The Travelers Walking Stick, Rare (Requires Attunement) - This staff functions as a +1 Quarterstaff and an Arcane Focus. This staff has 5 charges, and regains 1d4 charges each dawn. You can spend one charge to deal an additional 1d6 force damage on a successful melee attack. You can spend 3 charges to Counterspell at 3rd level using your reaction without spending a spell slot. If you successfully Counterspell a spell of 5th level or higher you can add 1 charge to the max charges the staff can hold. The DC to counter a spell of 4th level or higher is 10+ the spell's level, rolling a d20 + your casting modifier.",,,,,,,
witty,,,,,,"Trueheart Clasp - A small clasp that can be fastened onto the user's ear, allowing the user to know someone's true intentions. This gives the wearer Advantage and +2 on all Insight checks.",,,,,,,
,,,,,,"Twin Rings of Wonder - requires attunement. If two magic-users wearing these rings high-five as an Action, they can combine their two Spellcasting Ability stats and cast one spell at that level on their next turn. Has 5 charges, can be recharged by heating them with dragonfire.",,,,,,,
,,,,,,"Physician's Pendant - A pendant with a small cross engraved on it. After casting a spell that restores a creature's hit points, the wearer rolls a d20. On a 17 or higher roll, the healing spell does not cost the user a spell slot.",,,,,,,
,,,,,,Wabbajack - Requires attunement. A gnarled-wood staff that randomly curses one target with a Wild Magic Surge d100 curse randomly rolled by the caster. Causes no damage.,,,,,,,
